timestamp,kwh
2025-01-01 00:00,20.1
2025-01-01 01:00,18.9
2025-01-01 02:00,17.5
2025-01-01 03:00,15.6
2025-01-01 04:00,14.1
2025-01-01 05:00,16.2
2025-01-01 06:00,18.4
2025-01-01 07:00,22.3
2025-01-01 08:00,28.1
2025-01-01 09:00,31.2
2025-01-01 10:00,33.5
2025-01-01 11:00,35.8
2025-01-01 12:00,37.2
2025-01-01 13:00,36.6
2025-01-01 14:00,34.1
2025-01-01 15:00,31.9
2025-01-01 16:00,29.7
2025-01-01 17:00,27.6
2025-01-01 18:00,29.3
2025-01-01 19:00,30.4
2025-01-01 20:00,32.1
2025-01-01 21:00,29.7
2025-01-01 22:00,25.3
2025-01-01 23:00,22.0
2025-01-02 00:00,21.2
2025-01-02 01:00,19.8
2025-01-02 02:00,18.3
2025-01-02 03:00,16.7
2025-01-02 04:00,15.2
2025-01-02 05:00,17.5
2025-01-02 06:00,19.4
2025-01-02 07:00,23.3
2025-01-02 08:00,29.0
2025-01-02 09:00,32.3
2025-01-02 10:00,34.8
2025-01-02 11:00,37.4
2025-01-02 12:00,38.6
2025-01-02 13:00,37.9
2025-01-02 14:00,35.1
2025-01-02 15:00,33.2
2025-01-02 16:00,30.9
2025-01-02 17:00,28.4
2025-01-02 18:00,30.1
2025-01-02 19:00,31.4
2025-01-02 20:00,32.6
2025-01-02 21:00,30.2
2025-01-02 22:00,26.0
2025-01-02 23:00,24.1
