timestamp,kwh
2025-01-01 00:00,12.4
2025-01-01 01:00,11.2
2025-01-01 02:00,10.8
2025-01-01 03:00,9.6
2025-01-01 04:00,8.9
2025-01-01 05:00,9.1
2025-01-01 06:00,10.2
2025-01-01 07:00,13.4
2025-01-01 08:00,18.9
2025-01-01 09:00,22.4
2025-01-01 10:00,25.1
2025-01-01 11:00,26.3
2025-01-01 12:00,28.9
2025-01-01 13:00,27.8
2025-01-01 14:00,26.4
2025-01-01 15:00,24.1
2025-01-01 16:00,22.3
2025-01-01 17:00,20.5
2025-01-01 18:00,21.4
2025-01-01 19:00,22.8
2025-01-01 20:00,23.4
2025-01-01 21:00,19.8
2025-01-01 22:00,16.2
2025-01-01 23:00,14.1
2025-01-02 00:00,13.5
2025-01-02 01:00,12.1
2025-01-02 02:00,11.4
2025-01-02 03:00,10.3
2025-01-02 04:00,9.8
2025-01-02 05:00,10.1
2025-01-02 06:00,11.2
2025-01-02 07:00,14.3
2025-01-02 08:00,19.1
2025-01-02 09:00,23.5
2025-01-02 10:00,26.2
2025-01-02 11:00,27.8
2025-01-02 12:00,29.2
2025-01-02 13:00,28.6
2025-01-02 14:00,27.1
2025-01-02 15:00,25.0
2025-01-02 16:00,23.4
2025-01-02 17:00,21.9
2025-01-02 18:00,22.7
2025-01-02 19:00,23.5
2025-01-02 20:00,24.0
2025-01-02 21:00,20.2
2025-01-02 22:00,17.3
2025-01-02 23:00,15.0
